rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
179,frame_0117.jpg,46.8,0.3624,0.4647,0.1667,0.4,4,1,False,False
180,frame_0397.jpg,158.8,0.3595,0.5389,0.1667,0.2,7,1,False,False
181,frame_0211.jpg,84.4,0.3573,0.3585,0.1667,0.64,2,1,False,False
182,frame_0310.jpg,124.0,0.3536,0.3752,0.5,0.08,4,3,False,False
183,frame_0230.jpg,92.0,0.3523,0.5565,0.1667,0.12,10,1,False,False
184,frame_0394.jpg,157.6,0.3523,0.3726,0.5,0.08,5,3,False,False
185,frame_0296.jpg,118.4,0.3518,0.4475,0.0,0.64,5,0,False,False
186,frame_0314.jpg,125.6,0.3518,0.3717,0.5,0.08,5,3,False,False
187,frame_0385.jpg,154.0,0.3486,0.4172,0.3333,0.2,8,2,False,False
188,frame_0222.jpg,88.8,0.3468,0.3137,0.5,0.2,4,3,False,False
189,frame_0371.jpg,148.4,0.3459,0.4598,0.3333,0.08,4,2,False,False
190,frame_0086.jpg,34.4,0.3451,0.2823,0.3333,0.52,5,2,False,False
191,frame_0201.jpg,80.4,0.3429,0.3618,0.1667,0.56,2,1,False,False
192,frame_0204.jpg,81.6,0.3422,0.3123,0.1667,0.68,2,1,False,False
193,frame_0017.jpg,6.8,0.3421,0.2842,0.0,1.0,5,0,False,False
194,frame_0373.jpg,149.2,0.3408,0.4177,0.3333,0.16,7,2,False,False
195,frame_0085.jpg,34.0,0.3391,0.3542,0.1667,0.56,2,1,False,False
196,frame_0309.jpg,123.6,0.3357,0.4235,0.3333,0.12,4,2,False,False
197,frame_0399.jpg,159.6,0.3349,0.3578,0.3333,0.28,4,2,False,False
198,frame_0116.jpg,46.4,0.3335,0.5229,0.0,0.36,4,0,False,False
199,frame_0281.jpg,112.4,0.3329,0.3898,0.1667,0.44,3,1,False,False
200,frame_0203.jpg,81.2,0.3308,0.3055,0.1667,0.64,3,1,False,False
201,frame_0304.jpg,121.6,0.3305,0.433,0.1667,0.32,6,1,False,False
202,frame_0195.jpg,78.0,0.3268,0.3256,0.3333,0.32,4,2,False,False
203,frame_0269.jpg,107.6,0.3268,0.4377,0.3333,0.04,4,2,False,False
204,frame_0272.jpg,108.8,0.3264,0.4208,0.3333,0.08,3,2,False,False
205,frame_0174.jpg,69.6,0.3255,0.4229,0.1667,0.32,4,1,False,False
206,frame_0332.jpg,132.8,0.3249,0.4339,0.3333,0.04,6,2,False,False
207,frame_0200.jpg,80.0,0.3237,0.3394,0.1667,0.52,2,1,False,False
208,frame_0233.jpg,93.2,0.3224,0.4487,0.1667,0.24,5,1,False,False
209,frame_0313.jpg,125.2,0.3221,0.5282,0.1667,0.04,2,1,False,False
210,frame_0091.jpg,36.4,0.3202,0.4123,0.1667,0.32,2,1,False,False
211,frame_0232.jpg,92.8,0.3193,0.4586,0.1667,0.2,4,1,False,False
212,frame_0084.jpg,33.6,0.3191,0.3981,0.0,0.6,3,0,False,False
213,frame_0391.jpg,156.4,0.3189,0.4218,0.3333,0.04,7,2,False,False
214,frame_0194.jpg,77.6,0.318,0.324,0.3333,0.28,6,2,False,False
215,frame_0012.jpg,4.8,0.3095,0.219,0.0,1.0,4,0,False,False
216,frame_0181.jpg,72.4,0.3083,0.4007,0.3333,0.04,5,2,False,False
217,frame_0113.jpg,45.2,0.3054,0.3148,0.3333,0.24,5,2,False,False
218,frame_0228.jpg,91.2,0.3054,0.3949,0.3333,0.04,5,2,False,False
219,frame_0192.jpg,76.8,0.3015,0.323,0.3333,0.2,4,2,False,False
220,frame_0215.jpg,86.0,0.3015,0.3109,0.1667,0.48,4,1,False,False
221,frame_0118.jpg,47.2,0.2977,0.3194,0.1667,0.44,4,1,False,False
222,frame_0226.jpg,90.4,0.2966,0.4771,0.1667,0.04,4,1,False,False
223,frame_0370.jpg,148.0,0.2954,0.3748,0.3333,0.04,6,2,False,False
224,frame_0202.jpg,80.8,0.2906,0.2412,0.1667,0.6,4,1,False,False
225,frame_0082.jpg,32.8,0.2897,0.2074,0.1667,0.68,4,1,False,False
226,frame_0395.jpg,158.0,0.2893,0.3306,0.3333,0.12,5,2,False,False
227,frame_0171.jpg,68.4,0.2863,0.2966,0.1667,0.44,4,1,False,False
228,frame_0196.jpg,78.4,0.2789,0.3137,0.1667,0.36,2,1,False,False
229,frame_0282.jpg,112.8,0.2774,0.3628,0.0,0.48,4,0,False,False
230,frame_0267.jpg,106.8,0.276,0.3041,0.3333,0.12,4,2,False,False
231,frame_0180.jpg,72.0,0.2743,0.3167,0.3333,0.08,5,2,False,False
232,frame_0172.jpg,68.8,0.2705,0.2809,0.1667,0.4,5,1,False,False
233,frame_0325.jpg,130.0,0.27,0.3241,0.3333,0.04,4,2,False,False
234,frame_0109.jpg,43.6,0.2682,0.3045,0.3333,0.08,6,2,False,False
235,frame_0311.jpg,124.4,0.2673,0.4185,0.1667,0.04,2,1,False,False
236,frame_0393.jpg,157.2,0.2669,0.4177,0.1667,0.04,3,1,False,False
237,frame_0197.jpg,78.8,0.2665,0.273,0.1667,0.4,2,1,False,False
238,frame_0191.jpg,76.4,0.2653,0.3665,0.1667,0.16,2,1,False,False
239,frame_0188.jpg,75.2,0.2645,0.4129,0.1667,0.04,6,1,False,False
240,frame_0112.jpg,44.8,0.2446,0.4092,0.0,0.2,4,0,False,False
241,frame_0372.jpg,148.8,0.2436,0.3391,0.1667,0.12,6,1,False,False
242,frame_0212.jpg,84.8,0.2394,0.2388,0.0,0.6,1,0,False,False
243,frame_0223.jpg,89.2,0.2278,0.2916,0.1667,0.16,6,1,False,False
244,frame_0322.jpg,128.8,0.2262,0.2884,0.1667,0.16,6,1,False,False
245,frame_0206.jpg,82.4,0.2246,0.1451,0.0,0.76,3,0,False,False
246,frame_0323.jpg,129.2,0.2225,0.3971,0.0,0.12,3,0,False,False
247,frame_0213.jpg,85.2,0.2217,0.2193,0.0,0.56,3,0,False,False
248,frame_0092.jpg,36.8,0.2186,0.2252,0.1667,0.28,3,1,False,False
249,frame_0190.jpg,76.0,0.214,0.28,0.1667,0.12,3,1,False,False
250,frame_0324.jpg,129.6,0.2131,0.2941,0.1667,0.08,3,1,False,False
251,frame_0102.jpg,40.8,0.2024,0.3568,0.0,0.12,4,0,False,False
252,frame_0119.jpg,47.6,0.1966,0.2012,0.0,0.48,3,0,False,False
253,frame_0101.jpg,40.4,0.1939,0.3558,0.0,0.08,5,0,False,False
254,frame_0382.jpg,152.8,0.1886,0.2452,0.1667,0.08,5,1,False,False
255,frame_0110.jpg,44.0,0.1785,0.2089,0.1667,0.12,4,1,False,False
256,frame_0199.jpg,79.6,0.1577,0.1234,0.0,0.48,1,0,False,False
